Problem | Algorithm | GD            | S            | Delta        | MS           | Archive        | Time(s)      
--------+-----------+---------------+--------------+--------------+--------------+----------------+--------------
ZDT1    | momsa     | 0.0156407830  | 0.0060181604 | 0.3953675103 | 0.9921634321 | 100.0000000000 | 15.9979912217
ZDT1    | nsga2     | 0.0035335651  | 0.0069101955 | 0.3590255479 | 0.9994386251 | 100.0000000000 | 0.9508569403 
ZDT1    | spea2     | 0.0044666700  | 0.0053041672 | 0.3051960133 | 0.9918689215 | 100.0000000000 | 1.6629701518 
ZDT1    | moead     | 0.7132343745  | 0.4209886044 | 0.9403851752 | 0.7456865253 | 12.7000000000  | 1.3089342093 
ZDT2    | momsa     | 0.0217884957  | 0.0046363736 | 0.6555264133 | 0.5799659051 | 97.5000000000  | 11.4349758112
ZDT2    | nsga2     | 0.0021402935  | 0.0067761964 | 0.3385657737 | 0.9989273738 | 100.0000000000 | 1.0463531786 
ZDT2    | spea2     | 0.0024001224  | 0.0052560134 | 0.3116877418 | 0.9920642360 | 100.0000000000 | 1.7000106807 
ZDT2    | moead     | 0.0671016302  | 0.0676197301 | 1.0671116931 | 0.0562036757 | 13.0000000000  | 1.2958890164 
ZDT3    | momsa     | 0.2298982285  | 0.0086930652 | 0.6909672209 | 0.9291762146 | 100.0000000000 | 11.2286273601
ZDT3    | nsga2     | 0.2950836976  | 0.0074483689 | 0.6539605248 | 0.9289078829 | 100.0000000000 | 0.9292250112 
ZDT3    | spea2     | 0.2848374643  | 0.0052413959 | 0.6364073788 | 0.9176433487 | 100.0000000000 | 1.5570048852 
ZDT3    | moead     | 0.7178037422  | 0.4943276007 | 0.9567687761 | 0.7352180684 | 12.1000000000  | 1.2505077775 
ZDT4    | momsa     | 0.9810147463  | 0.0150655264 | 0.7899103816 | 0.7472735813 | 98.9000000000  | 13.8533018583
ZDT4    | nsga2     | 0.7978808450  | 0.0101989277 | 0.6944845191 | 0.7493579716 | 100.0000000000 | 1.0160977802 
ZDT4    | spea2     | 0.7326511186  | 0.0547765666 | 0.7626739816 | 0.7662129486 | 100.0000000000 | 1.6412246842 
ZDT4    | moead     | 4.2107547923  | 2.8093013867 | 1.1557046908 | 0.7066228566 | 13.0000000000  | 1.3136320160 
ZDT6    | momsa     | 0.9813818150  | 0.1657861357 | 1.1870827555 | 1.0000000000 | 100.0000000000 | 11.3257023559
ZDT6    | nsga2     | 0.3822912910  | 0.0050850692 | 0.5946900225 | 0.9797386701 | 100.0000000000 | 0.9788438208 
ZDT6    | spea2     | 0.4265697055  | 0.0807966779 | 0.8009442367 | 0.9728186993 | 100.0000000000 | 1.5533113902 
ZDT6    | moead     | 0.9500387392  | 0.6702599939 | 1.0562239780 | 0.8596223320 | 13.0000000000  | 1.3630622869 
DTLZ1   | momsa     | 36.3235782599 | 3.9794851056 | 1.0246228220 | 1.0000000000 | 76.4000000000  | 6.6095325159 
DTLZ1   | nsga2     | 0.3543755027  | 0.1029790509 | 0.8779002200 | 1.0000000000 | 94.8000000000  | 1.0965390446 
DTLZ1   | spea2     | 0.5727039964  | 0.4546418425 | 0.7361315822 | 0.9941977347 | 100.0000000000 | 1.7037256083 
DTLZ1   | moead     | 0.0514224283  | 0.0076703231 | 0.5750373024 | 0.9974992479 | 91.0000000000  | 11.1790980738
DTLZ2   | momsa     | 0.0589318977  | 0.0591127478 | 0.7099614568 | 1.0000000000 | 100.0000000000 | 32.2989374870
DTLZ2   | nsga2     | 0.0371113916  | 0.0550068046 | 0.7017228012 | 0.9999999996 | 100.0000000000 | 1.4816148450 
DTLZ2   | spea2     | 0.0395809463  | 0.0301854790 | 0.5611271436 | 0.9971589899 | 100.0000000000 | 3.0386553895 
DTLZ2   | moead     | 0.0308097293  | 0.0569297087 | 0.6033742361 | 0.9999760902 | 90.9000000000  | 14.4531277247
